Date Scan;Outil;Cible;ID Vulnérabilité (CVE);Titre / Package;Sévérité;Description
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2024-38950;libde265-0;MEDIUM;Heap Buffer Overflow vulnerability in Libde265 v1.0.15 allows attackers to crash the application via...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2024-38949;libde265-0;MEDIUM;Heap Buffer Overflow vulnerability in Libde265 v1.0.15 allows attackers to crash the application via...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40355;libgssapi-krb5-2;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is a NULL pointer dereference if an application ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40355;libk5crypto3;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is a NULL pointer dereference if an application ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40355;libkrb5-3;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is a NULL pointer dereference if an application ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40355;libkrb5support0;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is a NULL pointer dereference if an application ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40356;libgssapi-krb5-2;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is an integer underflow and resultant out-of-bound...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40356;libk5crypto3;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is an integer underflow and resultant out-of-bound...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40356;libkrb5-3;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is an integer underflow and resultant out-of-bound...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40356;libkrb5support0;MEDIUM;In MIT Kerberos 5 (aka krb5) before 1.22.3, there is an integer underflow and resultant out-of-bound...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-0990;libxml2;MEDIUM;A flaw was found in libxml2, an XML parsing library. This uncontrolled recursion vulnerability occur...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;bsdutils;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;libblkid1;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;liblastlog2-2;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;libmount1;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;libsmartcols1;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;libuuid1;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;login;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;mount;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3184;util-linux;MEDIUM;A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when i...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-1965;curl;MEDIUM;libcurl can in some circumstances reuse the wrong connection when asked to do an Negotiate-authentic...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-1965;libcurl4t64;MEDIUM;libcurl can in some circumstances reuse the wrong connection when asked to do an Negotiate-authentic...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-7598;libssh2-1t64;MEDIUM;A security vulnerability has been detected in libssh2 up to 1.11.1. The impacted element is the func...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-7168;curl;MEDIUM;Successfully using libcurl to do a transfer over a specific HTTP proxy (`proxyA`) with **Digest** au...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-7168;libcurl4t64;MEDIUM;Successfully using libcurl to do a transfer over a specific HTTP proxy (`proxyA`) with **Digest** au...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-42946;nginx;MEDIUM;A vulnerability exists in the ngx_http_scgi_module and ngx_http_uwsgi_module modules that may result...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-6141;libtinfo6;MEDIUM;A vulnerability has been found in GNU ncurses up to 6.5-20250322 and classified as problematic. This...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-6141;ncurses-base;MEDIUM;A vulnerability has been found in GNU ncurses up to 6.5-20250322 and classified as problematic. This...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-6141;ncurses-bin;MEDIUM;A vulnerability has been found in GNU ncurses up to 6.5-20250322 and classified as problematic. This...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32738;libheif-plugin-dav1d;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32738;libheif-plugin-libde265;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32738;libheif1;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-14819;curl;MEDIUM;When doing TLS related transfers with reused easy or multi handles and altering the  `CURLSSLOPT_NO_...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-14819;libcurl4t64;MEDIUM;When doing TLS related transfers with reused easy or multi handles and altering the  `CURLSSLOPT_NO_...
